playerId;skaterFullName;teamAbbrevs
8484149;Gavin Brindley;COL
8479390;Taylor Raddysh;NYR
8484136;Max Sasson;VAN
8479996;Cody Glass;NJD
8475168;Matt Duchene;DAL
8476891;Matt Grzelcyk;CHI
8484221;Calum Ritchie;NYI
8479398;Samuel Girard;COL
8478233;Andrew Mangiapane;EDM
8476462;Dougie Hamilton;NJD
8478904;Steven Lorentz;TOR
8475455;Brenden Dillon;NJD
8482691;Aatu Raty;VAN
8477527;Ross Johnston;ANA
8483500;Noah Ostlund;BUF
8480336;Sean Walker;CAR
8476892;Colton Parayko;STL
8475167;Victor Hedman;TBL
8477919;Freddy Gaudreau;SEA
8482660;Kent Johnson;CBJ
8484240;Tom Willander;VAN
8483690;Noah Laba;NYR
8477425;Miles Wood;CBJ
8481618;Alex Newhook;MTL
8475231;Casey Cizikas;NYI
8474563;Drew Doughty;LAK
8479675;Trevor Moore;LAK
8478038;Devon Toews;COL
8474716;Jared Spurgeon;MIN
8475191;Reilly Smith;VGK
8480434;Sean Durzi;UTA
8476897;Oskar Sundqvist;STL
8475784;Jeff Skinner;SJS
8480849;Barrett Hayton;UTA
8482159;Tyson Foerster;PHI
8473986;Alex Killorn;ANA
8477018;Ben Hutton;VGK
8479378;Logan Stanley;WPG
8476921;Jordan Martinook;CAR
8478508;Yakov Trenin;MIN
8476374;Sean Kuraly;BOS
8480355;Mark Kastelic;BOS
8482149;Cole Perfetti;WPG
8484197;Oliver Moore;CHI
8484829;Justin Hryckowian;DAL
8476869;Brady Skjei;NSH
8483890;Braeden Bowman;VGK
8478911;Matt Roy;WSH
8478851;Alexandre Carrier;MTL
8476854;Hampus Lindholm;BOS
8477220;Nate Schmidt;UTA
8479992;Michael Rasmussen;DET
8483512;Matt Savoie;EDM
8481624;Ilya Mikheyev;CHI
8481806;Louis Crevier;CHI
8482634;Alex Steeves;BOS
8484158;Easton Cowan;TOR
8480289;Morgan Barron;WPG
8476981;Josh Anderson;MTL
8482245;Artem Zub;OTT
8482671;Owen Power;BUF
8480459;Pius Suter;STL
8480995;Pontus Holmberg;TBL
8480762;Eric Robinson;CAR
8473994;Jamie Benn;DAL
8479591;Michael Eyssimont;BOS
8482655;J.J. Moser;TBL
8483516;Jimmy Snuggerud;STL
8482145;Mavrik Bourque;DAL
8481554;Kaapo Kakko;SEA
8474013;Ian Cole;UTA
8477507;Nikita Zadorov;BOS
8479353;Brett Howden;VGK
8485702;Max Shabanov;NYI
8480855;Jack McBain;UTA
8481598;Philip Broberg;STL
8475848;Brendan Gallagher;MTL
8476463;Jonas Brodin;MIN
8478469;Thomas Chabot;OTT
8480835;Jack Drury;COL
8475764;Cam Fowler;STL
8484241;Matthew Wood;NSH
8478450;Parker Wotherspoon;PIT
8481606;Jordan Spence;OTT
8480798;Philipp Kurashev;SJS
8478882;Vladislav Gavrikov;NYR
8480068;Ryan Poehling;ANA
8482201;Gage Goncalves;TBL
8482079;Marco Rossi;MIN,VAN
8475768;Jaden Schwartz;SEA
8475906;John Klingberg;SJS
8480796;Martin Fehervary;WSH
8477498;Darnell Nurse;EDM
8473604;Jonathan Toews;WPG
8480873;Rasmus Sandin;WSH
8477456;J.T. Compher;DET
8476441;Joel Edmundson;LAK
8480448;Parker Kelly;COL
8476469;Joel Armia;LAK
8480980;Connor Dewar;PIT
8481522;Peyton Krebs;BUF
8481581;Thomas Harley;DAL
8482762;Simon Edvinsson;DET
8478463;Anthony Beauvillier;WSH
8480064;Josh Norris;BUF
8481068;Yegor Sharangovich;CGY
8483525;Danila Yurov;MIN
8477955;Jared McCann;SEA
8476889;Radek Faksa;DAL
8476931;Jake McCabe;TOR
8483524;Shane Wright;SEA
8482092;Ridly Greig;OTT
8477986;Brandon Montour;SEA
8478854;Ryan Shea;PIT
8480426;Charle-Edouard D'Astous;TBL
8476331;Dylan DeMelo;WPG
8477346;MacKenzie Weegar;CGY
8475799;Nino Niederreiter;WPG
8476923;Damon Severson;CBJ
8481711;Matias Maccelli;TOR
8482074;Connor Zary;CGY
8482077;Dylan Holloway;STL
8483808;Andrei Kuzmenko;LAK
8478421;A.J. Greer;FLA
8479619;Michael Carcone;UTA
8478874;Adam Gaudette;SJS
8476826;Yanni Gourde;TBL
8476419;Jean-Gabriel Pageau;NYI
8484223;Axel Sandin-Pellikka;DET
8477015;Connor Brown;NJD
8482055;Drew O'Connor;VAN
8482803;Olen Zellweger;ANA
8483450;Ryan Greene;CHI
8480113;Alex Iafallo;WPG
8478462;Nicolas Roy;TOR
8478020;Michael Amadio;OTT
8480074;Alexandre Texier;STL,MTL
8476483;Rickard Rakell;PIT
8475794;Tyler Seguin;DAL
8478055;Gustav Forsling;FLA
8484798;Zeev Buium;MIN,VAN
8482100;Alexander Nikishin;CAR
8481546;Cam York;PHI
8475151;Kyle Palmieri;NYI
8482713;Mackie Samoskevich;FLA
8482142;Jamie Drysdale;PHI
8479661;Tanner Jeannot;BOS
8477987;Ryan Donato;CHI
8482737;Zachary Bolduc;MTL
8477932;Aaron Ekblad;FLA
8483495;Simon Nemec;NJD
8478500;Ivan Provorov;CBJ
8483573;Ethen Frank;WSH
8478396;Noah Hanifin;VGK
8481721;Arseny Gritsyuk;NJD
8484471;Emmitt Finnie;DET
8485414;Ben Kindel;PIT
8480185;Eetu Luostarinen;FLA
8477948;Travis Sanheim;PHI
8475798;Mikael Granlund;ANA
8476885;Jacob Trouba;ANA
8475218;Mattias Ekholm;EDM
8482511;Mason Lohrei;BOS
8477407;Anthony Duclair;NYI
8479351;Sam Steel;DAL
8473533;Jordan Staal;CAR
8482088;Justin Sourdif;WSH
8475170;Brayden Schenn;STL
8479385;Jordan Kyrou;STL
8474037;James van Riemsdyk;DET
8482089;Jake Neighbours;STL
8477451;Ryan Hartman;MIN
8476312;Josh Manson;COL
8477950;Tony DeAngelo;NYI
8483565;Nick Blankenburg;NSH
8480797;Joel Farabee;CGY
8476902;Esa Lindell;DAL
8484145;Zach Benson;BUF
8475765;Vladimir Tarasenko;MIN
8480188;Fabian Zetterlund;OTT
8478458;Jack Roslovic;EDM
8482705;Cole Sillinger;CBJ
8475722;Jason Zucker;BUF
8482177;Marat Khusnutdinov;BOS
8481553;Bobby Brink;PHI
8481617;Vasily Podkolzin;EDM
8477503;Max Domi;TOR
8479999;Casey Mittelstadt;BOS
8478975;Mason Marchment;SEA,CBJ
8477494;Jonathan Drouin;NYI
8479525;Ross Colton;COL
8479638;Justin Brazeau;PIT
8477506;Ryan Pulock;NYI
8477416;Oliver Bjorkstrand;TBL
8483485;Denton Mateychuk;CBJ
8481024;Linus Karlsson;VAN
8478109;Victor Olofsson;COL
8483493;Frank Nazar;CHI
8475169;Evander Kane;VAN
8484783;Artyom Levshunov;CHI
8476875;Mike Matheson;MTL
8478438;Thomas Novak;PIT
8474102;David Perron;OTT
8480801;Brady Tkachuk;OTT
8483489;Fraser Minten;BOS
8476456;Jonathan Huberdeau;CGY
8478542;Evan Rodrigues;FLA
8478507;John Marino;UTA
8476882;Teuvo Teravainen;CHI
8471685;Anze Kopitar;LAK
8476399;Blake Coleman;CGY
8480817;K'Andre Miller;CAR
8475692;Mats Zuccarello;MIN
8478444;Brock Boeser;VAN
8478474;Lawson Crouse;UTA
8482702;Logan Stankoven;CAR
8477497;Sean Monahan;CBJ
8475753;Justin Faulk;STL
8482155;Alex Laferriere;LAK
8478856;Conor Garland;VAN
8480028;Morgan Frost;CGY
8482476;Emil Heineman;NYI
8476455;Gabriel Landeskog;COL
8481582;Nicholas Robertson;TOR
8477447;Shea Theodore;VGK
8480807;Mattias Samuelsson;BUF
8475200;Dmitry Orlov;SJS
8482730;Brandt Clarke;LAK
8478498;Jake DeBrusk;VAN
8483431;Logan Cooley;UTA
8481601;Simon Holmstrom;NYI
8484258;Sam Malinski;COL
8475791;Taylor Hall;CAR
8471724;Kris Letang;PIT
8484387;Matvei Michkov;PHI
8482157;Will Cuylle;NYR
8470621;Corey Perry;LAK
8474600;Roman Josi;NSH
8480748;Kiefer Sherwood;VAN
8478042;Viktor Arvidsson;BOS
8470613;Brent Burns;COL
8476432;Boone Jenner;CBJ
8476468;J.T. Miller;NYR
8480220;Noah Cates;PHI
8476461;Sean Couturier;PHI
8484911;Collin Graf;SJS
8477402;Pavel Buchnevich;STL
8482109;Alexis Lafrenière;NYR
8482684;Luke Hughes;NJD
8481596;Shane Pinto;OTT
8477495;Seth Jones;FLA
8475287;Erik Haula;NSH
8482097;Jack Quinn;BUF
8482259;Bobby McMann;TOR
8482679;Matt Coronato;CGY
8478414;Timo Meier;NJD
8478407;Vince Dunn;SEA
8475184;Chris Kreider;ANA
8481524;Bowen Byram;BUF
8476853;Morgan Rielly;TOR
8480015;Owen Tippett;PHI
8477501;Valeri Nichushkin;COL
8478047;Michael Bunting;NSH
8479325;Charlie McAvoy;BOS
8475314;Anders Lee;NYI
8482809;Jackson Blake;CAR
8480009;Eeli Tolvanen;SEA
8482124;Quinton Byfield;LAK
8479425;Filip Hronek;VAN
8480802;Ryan McLeod;BUF
8476389;Vincent Trocheck;NYR
8482775;Oliver Kapanen;MTL
8475786;Zach Hyman;EDM
8476905;Chandler Stephenson;SEA
8482110;Dawson Mercer;NJD
8484186;Ryan Leonard;WSH
8482122;Brock Faber;MIN
8480012;Elias Pettersson;VAN
8481580;Connor McMichael;WSH
8475171;Oliver Ekman-Larsson;TOR
8477429;Andrew Copp;DET
8482745;Mason McTavish;ANA
8481559;Jack Hughes;NJD
8478519;Anthony Cirelli;TBL
8474141;Patrick Kane;DET
8479323;Adam Fox;NYR
8477989;Christian Dvorak;PHI
8482667;William Eklund;SJS
8477511;Anthony Mantha;PIT
8481605;Jackson LaCombe;ANA
8480865;Noah Dobson;MTL
8477444;Andre Burakovsky;CHI
8474586;Jordan Eberle;SEA
8484227;Will Smith;SJS
8478397;Rasmus Andersson;CGY
8475745;Charlie Coyle;CBJ
8484166;Adam Fantilli;CBJ
8482665;Matty Beniers;SEA
8474150;Mikael Backlund;CGY
8478010;Brayden Point;TBL
8480839;Rasmus Dahlin;BUF
8485366;Matthew Schaefer;NYI
8477496;Elias Lindholm;BOS
8482659;Josh Doan;BUF
8481716;Dmitri Voronkov;CBJ
8481656;Aliaksei Protas;WSH
8482146;Luke Evangelista;NSH
8481528;Dylan Cozens;OTT
8477942;Kevin Fiala;LAK
8474564;Steven Stamkos;NSH
8475726;Tyler Toffoli;SJS
8479410;Mikhail Sergachev;UTA
8478401;Pavel Zacha;BOS
8476906;Shayne Gostisbehere;CAR
8475172;Nazem Kadri;CGY
8477505;Alexander Wennberg;SJS
8482175;JJ Peterka;UTA
8479345;Jakob Chychrun;WSH
8471215;Evgeni Malkin;PIT
8476887;Filip Forsberg;NSH
8477964;Ivan Barbashev;VGK
8478493;Joel Eriksson Ek;MIN
8473512;Claude Giroux;OTT
8482113;Anton Lundell;FLA
8474578;Erik Karlsson;PIT
8482105;Jake Sanderson;OTT
8481604;Pavel Dorofeyev;VGK
8475149;Marcus Johansson;MIN
8480023;Robert Thomas;STL
8477500;Bo Horvat;NYI
8481542;Moritz Seider;DET
8482093;Seth Jarvis;CAR
8477476;Artturi Lehkonen;COL
8477940;Nikolaj Ehlers;CAR
8477409;Carter Verhaeghe;FLA
8480002;Nico Hischier;NJD
8480830;Andrei Svechnikov;CAR
8474590;John Carlson;WSH
8477960;Adrian Kempe;LAK
8477935;Sam Bennett;FLA
8484762;Beckett Sennecke;ANA
8478440;Dylan Strome;WSH
8478449;Roope Hintz;DAL
8480036;Miro Heiskanen;DAL
8479407;Jesper Bratt;NJD
8475810;Bryan Rust;PIT
8478445;Mathew Barzal;NYI
8477479;Tyler Bertuzzi;CHI
8479318;Auston Matthews;TOR
8477949;Alex Tuch;BUF
8477504;Josh Morrissey;WPG
8476454;Ryan Nugent-Hopkins;EDM
8475754;Brock Nelson;COL
8478439;Travis Konecny;PHI
8480893;Kirill Marchenko;CBJ
8482720;Matthew Knies;TOR
8483515;Juraj Slafkovský;MTL
8475158;Ryan O'Reilly;NSH
8480800;Quinn Hughes;VAN,MIN
8476881;Tomas Hertl;VGK
8478178;Darren Raddysh;TBL
8484984;Ivan Demidov;MTL
8475166;John Tavares;TOR
8471214;Alex Ovechkin;WSH
8483445;Cutter Gauthier;ANA
8482699;Dylan Guenther;UTA
8481533;Trevor Zegras;PHI
8475913;Mark Stone;VGK
8476459;Mika Zibanejad;NYR
8479987;Morgan Geekie;BOS
8477951;Nick Schmaltz;UTA
8480208;Drake Batherson;OTT
8479542;Brandon Hagel;TBL
8480014;Gabriel Vilardi;WPG
8477946;Dylan Larkin;DET
8478873;Troy Terry;ANA
8476880;Tom Wilson;WSH
8479420;Tage Thompson;BUF
8481540;Cole Caufield;MTL
8479343;Clayton Keller;UTA
8484153;Leo Carlsson;ANA
8477933;Sam Reinhart;FLA
8478427;Sebastian Aho;CAR
8483457;Lane Hutson;MTL
