playerId;headshot;firstName;lastName;sweaterNumber;fullTeamName;currentTeamAbbrev;teamLogo;position;season;gamesPlayed;points;goals;assists;shots;shootingPctg;powerPlayGoals;powerPlayPoints;otGoals
8481594;https://assets.nhle.com/mugs/nhl/20252026/NJD/8481594.png;Nathan;Légaré;37.0;New Jersey Devils;NJD;https://assets.nhle.com/logos/nhl/svg/NJD_light.svg;R;20252026;1;0;0;0;0;0.0;0;0;0
8483452;https://assets.nhle.com/mugs/nhl/20252026/MIN/8483452.png;Hunter;Haight;37.0;Minnesota Wild;MIN;https://assets.nhle.com/logos/nhl/svg/MIN_light.svg;C;20252026;5;0;0;0;4;0.0;0;0;0
8482804;https://assets.nhle.com/mugs/nhl/20252026/PHI/8482804.png;Ty;Murchison;96.0;Philadelphia Flyers;PHI;https://assets.nhle.com/logos/nhl/svg/PHI_light.svg;D;20252026;3;0;0;0;1;0.0;0;0;0
8482209;https://assets.nhle.com/mugs/nhl/20252026/CGY/8482209.png;Rory;Kerins;6.0;Calgary Flames;CGY;https://assets.nhle.com/logos/nhl/svg/CGY_light.svg;C;20252026;2;0;0;0;1;0.0;0;0;0
8483771;https://assets.nhle.com/mugs/nhl/20252026/FLA/8483771.png;Sandis;Vilmanis;95.0;Florida Panthers;FLA;https://assets.nhle.com/logos/nhl/svg/FLA_light.svg;L;20252026;18;5;3;2;15;0.2;0;0;0
8483491;https://assets.nhle.com/mugs/nhl/20252026/WSH/8483491.png;Ivan;Miroshnichenko;63.0;Washington Capitals;WSH;https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg;L;20252026;4;0;0;0;5;0.0;0;0;0
8478147;https://assets.nhle.com/mugs/nhl/20252026/PIT/8478147.png;Bokondji;Imama;14.0;Pittsburgh Penguins;PIT;https://assets.nhle.com/logos/nhl/svg/PIT_light.svg;L;20252026;2;0;0;0;2;0.0;0;0;0
8482766;https://assets.nhle.com/mugs/nhl/20252026/CGY/8482766.png;William;Stromgren;65.0;Calgary Flames;CGY;https://assets.nhle.com/logos/nhl/svg/CGY_light.svg;L;20252026;3;0;0;0;2;0.0;0;0;0
8482167;https://assets.nhle.com/mugs/nhl/20252026/WSH/8482167.png;Bogdan;Trineyev;87.0;Washington Capitals;WSH;https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg;R;20252026;2;0;0;0;1;0.0;0;0;0
8481562;https://assets.nhle.com/mugs/nhl/20252026/CAR/8481562.png;Domenick;Fensore;89.0;Carolina Hurricanes;CAR;https://assets.nhle.com/logos/nhl/svg/CAR_light.svg;D;20252026;1;0;0;0;2;0.0;0;0;0
8479421;https://assets.nhle.com/mugs/nhl/20252026/LAK/8479421.png;Jacob;Moverare;43.0;Los Angeles Kings;LAK;https://assets.nhle.com/logos/nhl/svg/LAK_light.svg;D;20252026;15;0;0;0;7;0.0;0;0;0
8483510;https://assets.nhle.com/mugs/nhl/20252026/WPG/8483510.png;Elias;Salomonsson;57.0;Winnipeg Jets;WPG;https://assets.nhle.com/logos/nhl/svg/WPG_light.svg;D;20252026;17;1;1;0;24;0.041667;0;0;0
8475235;https://assets.nhle.com/mugs/nhl/20252026/PHI/8475235.png;Nicolas;Deslauriers;44.0;Philadelphia Flyers;PHI;https://assets.nhle.com/logos/nhl/svg/PHI_light.svg;L;20252026;23;1;0;1;13;0.0;0;0;0
8476391;https://assets.nhle.com/mugs/nhl/20252026/COL/8476391.png;T.J.;Tynan;9.0;Colorado Avalanche;COL;https://assets.nhle.com/logos/nhl/svg/COL_light.svg;C;20252026;1;0;0;0;1;0.0;0;0;0
8480891;https://assets.nhle.com/mugs/nhl/20252026/BUF/8480891.png;Michael;Kesselring;8.0;Buffalo Sabres;BUF;https://assets.nhle.com/logos/nhl/svg/BUF_light.svg;D;20252026;28;1;0;1;37;0.0;0;0;0
8483686;https://assets.nhle.com/mugs/nhl/20252026/MTL/8483686.png;Adam;Engstrom;42.0;Montréal Canadiens;MTL;https://assets.nhle.com/logos/nhl/svg/MTL_light.svg;D;20252026;11;0;0;0;7;0.0;0;0;0
8481712;https://assets.nhle.com/mugs/nhl/20252026/BOS/8481712.png;Matěj ;Blümel;13.0;Boston Bruins;BOS;https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026;R;20252026;4;0;0;0;4;0.0;0;0;0
8481848;https://assets.nhle.com/mugs/nhl/20252026/PHI/8481848.png;Jacob;Gaucher;78.0;Philadelphia Flyers;PHI;https://assets.nhle.com/logos/nhl/svg/PHI_light.svg;C;20252026;3;0;0;0;3;0.0;0;0;0
8475461;https://assets.nhle.com/mugs/nhl/20252026/UTA/8475461.png;Andrew;Agozzino;36.0;Utah Mammoth;UTA;https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026;L;20252026;2;0;0;0;0;0.0;0;0;0
